file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,d576ffad,Icebolt365337,2025-10-10,00:32:34,-07:00,2025-10-10T00:32:34-07:00,0,5
style.css,2,css,d576ffad,Icebolt365337,2025-10-10,00:32:34,-07:00,2025-10-10T00:32:34-07:00,2,44
style.css,3,css,d576ffad,Icebolt365337,2025-10-10,00:32:34,-07:00,2025-10-10T00:32:34-07:00,2,31
style.css,4,css,d576ffad,Icebolt365337,2025-10-10,00:32:34,-07:00,2025-10-10T00:32:34-07:00,0,0
style.css,5,css,f443be6f,Icebolt365337,2025-10-15,22:48:55,-07:00,2025-10-15T22:48:55-07:00,0,18
style.css,6,css,635f9c64,Icebolt365337,2025-10-15,22:42:15,-07:00,2025-10-15T22:42:15-07:00,2,17
style.css,7,css,635f9c64,Icebolt365337,2025-10-15,22:42:15,-07:00,2025-10-15T22:42:15-07:00,2,8
style.css,8,css,635f9c64,Icebolt365337,2025-10-15,22:42:15,-07:00,2025-10-15T22:42:15-07:00,2,10
style.css,9,css,635f9c64,Icebolt365337,2025-10-15,22:42:15,-07:00,2025-10-15T22:42:15-07:00,2,19
style.css,10,css,635f9c64,Icebolt365337,2025-10-15,22:42:15,-07:00,2025-10-15T22:42:15-07:00,2,27
style.css,11,css,635f9c64,Icebolt365337,2025-10-15,22:42:15,-07:00,2025-10-15T22:42:15-07:00,0,0
style.css,12,css,8fb21872,Icebolt365337,2025-10-09,23:08:19,-07:00,2025-10-09T23:08:19-07:00,0,3
style.css,13,css,66918264,Icebolt365337,2025-10-15,22:32:44,-07:00,2025-10-15T22:32:44-07:00,2,17
style.css,14,css,6a007a78,Icebolt365337,2025-10-09,23:23:11,-07:00,2025-10-09T23:23:11-07:00,2,12
style.css,15,css,b2c304af,Icebolt365337,2025-10-09,23:33:25,-07:00,2025-10-09T23:33:25-07:00,2,18
style.css,16,css,b2c304af,Icebolt365337,2025-10-09,23:33:25,-07:00,2025-10-09T23:33:25-07:00,2,23
style.css,17,css,b2c304af,Icebolt365337,2025-10-09,23:33:25,-07:00,2025-10-09T23:33:25-07:00,2,25
style.css,18,css,b2c304af,Icebolt365337,2025-10-09,23:33:25,-07:00,2025-10-09T23:33:25-07:00,2,37
style.css,19,css,df6e1b83,Icebolt365337,2025-10-15,22:24:03,-07:00,2025-10-15T22:24:03-07:00,2,39
style.css,20,css,df6e1b83,Icebolt365337,2025-10-15,22:24:03,-07:00,2025-10-15T22:24:03-07:00,2,39
style.css,21,css,2d3e9142,Icebolt365337,2025-10-10,00:03:57,-07:00,2025-10-10T00:03:57-07:00,2,1
style.css,22,css,bc587606,Icebolt365337,2025-10-09,23:58:17,-07:00,2025-10-09T23:58:17-07:00,4,6
style.css,23,css,bc587606,Icebolt365337,2025-10-09,23:58:17,-07:00,2025-10-09T23:58:17-07:00,4,20
style.css,24,css,bc587606,Icebolt365337,2025-10-09,23:58:17,-07:00,2025-10-09T23:58:17-07:00,4,13
style.css,25,css,bc587606,Icebolt365337,2025-10-09,23:58:17,-07:00,2025-10-09T23:58:17-07:00,4,17
style.css,26,css,2d3e9142,Icebolt365337,2025-10-10,00:03:57,-07:00,2025-10-10T00:03:57-07:00,4,13
style.css,27,css,bc587606,Icebolt365337,2025-10-09,23:58:17,-07:00,2025-10-09T23:58:17-07:00,2,0
style.css,28,css,2d3e9142,Icebolt365337,2025-10-10,00:03:57,-07:00,2025-10-10T00:03:57-07:00,2,9
style.css,29,css,eb90f6cc,Icebolt365337,2025-10-10,00:14:33,-07:00,2025-10-10T00:14:33-07:00,4,21
style.css,30,css,2d3e9142,Icebolt365337,2025-10-10,00:03:57,-07:00,2025-10-10T00:03:57-07:00,4,25
style.css,31,css,a751b942,Icebolt365337,2025-10-10,00:20:39,-07:00,2025-10-10T00:20:39-07:00,4,25
style.css,32,css,bc587606,Icebolt365337,2025-10-09,23:58:17,-07:00,2025-10-09T23:58:17-07:00,2,0
style.css,33,css,d576ffad,Icebolt365337,2025-10-10,00:32:34,-07:00,2025-10-10T00:32:34-07:00,2,7
style.css,34,css,d576ffad,Icebolt365337,2025-10-10,00:32:34,-07:00,2025-10-10T00:32:34-07:00,4,21
style.css,35,css,d576ffad,Icebolt365337,2025-10-10,00:32:34,-07:00,2025-10-10T00:32:34-07:00,4,25
style.css,36,css,d576ffad,Icebolt365337,2025-10-10,00:32:34,-07:00,2025-10-10T00:32:34-07:00,4,25
